node_id_from	node_id_to	weight
289959413	301737101	0.000336
159869526	159869984	0.000336
140964638	140964471	0.000336
159884743	159884690	0.000336
284169010	284169011	0.000337
159898671	284160777	0.000337
159884690	287864636	0.000337
170200469	170200713	0.000337
301737262	301737261	0.000337
1268039033	1268039032	0.000337
1268874949	290784776	0.000337
87384040	272987595	0.000338
159861837	159861998	0.000338
1425417343	301736468	0.000338
159869760	159869675	0.000338
99304099	99304138	0.000338
160158546	160158257	0.000338
298728297	298728302	0.000338
19936871	791284680	0.000338
159858826	159858801	0.000338
159858750	159858689	0.000338
298965202	298965201	0.000338
278018082	310175901	0.000338
159870680	159870729	0.000338
1218510091	1218510095	0.000338
159870283	288189796	0.000338
96474007	96474004	0.000339
159884720	287864636	0.000339
99304108	99304188	0.000339
159884351	159884456	0.000339
159798161	159798248	0.000339
159870369	159870226	0.000339
140964653	140964667	0.000339
159869639	159870657	0.000339
103629200	1268039027	0.000340
284822400	284822401	0.000340
301736916	301736925	0.000340
288210327	159869805	0.000340
140964471	140964626	0.000340
159870606	159869967	0.000340
159884309	159884753	0.000340
140964668	140964619	0.000341
159798147	159798113	0.000341
160917143	160916943	0.000341
159870677	159869467	0.000341
291098827	291098826	0.000342
100272042	278023524	0.000342
298728284	298728283	0.000342
298728310	298728309	0.000342
1271319436	1271319437	0.000342
160908846	160908821	0.000342
140964570	140964554	0.000342
159494312	278009469	0.000343
1267299921	1267299920	0.000343
284230990	284230989	0.000343
298728302	298728299	0.000344
301736725	301736723	0.000344
284790349	284790350	0.000344
159870650	159870688	0.000344
159869595	159869591	0.000344
159870013	159870088	0.000344
286835159	286835160	0.000344
278023542	278023541	0.000344
159494236	159494306	0.000344
160916828	160916990	0.000344
160909268	160909114	0.000345
299206234	299206237	0.000345
289854598	284959158	0.000345
159870762	159870730	0.000345
1425417774	1425417772	0.000345
297847572	160909048	0.000345
1285445553	1285445544	0.000346
140964538	140964456	0.000346
159799999	140964485	0.000346
284822401	284822402	0.000346
140964668	140964386	0.000346
289959408	301736972	0.000346
1360894020	297847765	0.000346
140964468	140964374	0.000346
140964586	140964634	0.000346
159870512	159870707	0.000346
141900303	141900317	0.000347
287864634	159884720	0.000347
159870539	159870471	0.000347
284822402	284817224	0.000347
301736726	301736723	0.000347
48958422	166705995	0.000347
159858969	1225662741	0.000348
159862128	159862109	0.000348
284822400	284822399	0.000348
87384405	87384296	0.000348
1267299922	1267299918	0.000348
99304231	99304225	0.000349
1365848390	1365848388	0.000349
140964379	140964634	0.000349
288174891	159870344	0.000349
87399408	87399440	0.000349
160909248	160909264	0.000349
159861725	159861752	0.000350
298728298	298728301	0.000350
298728300	298728301	0.000350
1285445547	1285445550	0.000350
160916965	160917000	0.000350
299169359	299169360	0.000350
1268039025	1268039026	0.000350
140964545	140964538	0.000350
159884392	159884456	0.000350
1268874949	1268874950	0.000351
286017683	159798146	0.000351
159884560	159884351	0.000351
288162641	159884232	0.000351
1425417423	1425417415	0.000351
287979559	159870578	0.000351
99304236	99304116	0.000351
160994119	160908949	0.000351
1225662750	1225662751	0.000352
289959413	301737102	0.000352
159494312	278009475	0.000352
159798166	159798136	0.000352
159861752	159862176	0.000352
296984749	296984750	0.000353
588392819	4144816	0.000353
287517661	287517663	0.000353
791371765	791371766	0.000353
160916834	160916876	0.000353
159935398	284971132	0.000353
159870091	159869728	0.000353
298728296	298728297	0.000353
791371721	791371711	0.000353
140964545	159800027	0.000353
159914896	276689620	0.000353
159544109	159544300	0.000354
159858967	159858840	0.000354
284958190	284822394	0.000354
159898592	284160600	0.000354
159870650	159870733	0.000354
297847791	1360894019	0.000354
159950525	159950583	0.000354
791371721	791371720	0.000354
140964642	140964586	0.000355
159858785	159858879	0.000355
159884550	159870578	0.000355
301736183	301736184	0.000355
140964667	140964369	0.000355
159862102	159862075	0.000355
159517630	159517821	0.000356
290641325	290641326	0.000356
89060202	89060173	0.000356
298965200	298965201	0.000356
291278559	291278560	0.000356
13187599	13187598	0.000356
